index,text,polarity
1,"But the episode underscored that Mr. Trump obtains, processes and uses information differently from any modern president. He watches television at night and tends to incorporate what he sees into his Twitter feed, speeches and interviews.
“It begs the question of where the president gets his information as he articulates his administration’s global approach,” said Mark Brzezinski, the ambassador to Sweden under President Barack Obama. “To do so in an improvisational way, based on snippets picked up from cable news, is a major mistake.”
Immigration is a hotly debated issue in Sweden, Germany and many other European countries. Sweden, which prides itself as a humanitarian leader, processed a record 163,000 asylum applications in 2015. But statistics in Sweden do not back up the suggestion that immigrants have created a major crime wave.
Preliminary data released last month by Sweden’s crime prevention council found no significant increase in crimes from 2015 to 2016, even with the influx of migrants. The council did note an increase in assaults and rapes last year, but it also recorded a drop in thefts and drug offenses. Still, a Pew Research Center survey last year found that 46 percent of Swedes said refugees were more to blame for crime than other groups.
Manne Gerell, a doctoral student in criminology at Malmo University in Sweden, said in an interview that immigrants were disproportionately represented among crime suspects, particularly in more serious and violent offenses. But he noted that many of the victims were other immigrants, whether members of criminal networks or simply residents of poor neighborhoods.
“Immigration will come with some cost, and we will likely have a bit more crime — but that’s in a society with low crime rates and in a society that works really well, so in my opinion, it’s something we can live with,” he said. “I know everybody won’t agree with that. But immigration will not double the crime rate, make everybody go broke or turn Sweden into a living hell.”
Although terrorism is a concern for Sweden — an Iraqi-born Swede blew himself up in central Stockholm in 2010 — the authorities say they are equally worried about racist hate crimes, including attacks on migrants.",negative
2,"The German government is weighing potential hefty fines for tech giants like Google and Facebook, whose platforms allow false stories to be quickly circulated. The companies insist that they cannot be held responsible because they do not generate the stories.
Hans-Georg Maassen, the head of Germany’s domestic intelligence service, said that although there was no “smoking gun,” Russia was likely to be involved in the increase in online misinformation aimed at destabilizing German politics.
“What makes cyberattacks so sexy for foreign powers is that it is nearly impossible to find a smoking gun,” Mr. Maassen said in an interview with Phoenix TV Feb. 12. “It is always possible to cover your tracks and operate undercover.”
American tech giants also have stepped in after they were accused of not doing enough to counter false reports on their platforms, accusations that Facebook, Google and other companies deny. They are now funding initiatives in the United States, France and elsewhere to flag fake news online and remove posts if they are found to violate companies’ terms of use or local laws.
“This isn’t just about debunking falsehoods,” said Jenni Sargent, the managing director of First Draft News, a nonprofit that is partly funded by Google and expanding rapidly in France ahead of the country’s elections, as well as across Europe and beyond. “What we’re trying to do is to deal with the content as opposed to the source.”
Such efforts across Europe have gained momentum since the United States’ presidential election.
Soon after Donald J. Trump’s victory in November, David Alandete gathered his team in the El País newsroom in downtown Madrid with one goal in mind: to respond to fake news.
Like many journalists, Mr. Alandete, the Spanish newspaper’s managing editor and a former United States correspondent, had seen waves of false reports during the presidential campaign, many directed at Mexico — a country that accounts for roughly half of El País’ online readership.",positive
3,"Mr. Trump would hardly be the first contentious leader to be honored with a state visit. The queen, acting as always on the recommendation of the government, has in the past received President Robert Mugabe of Zimbabwe, the Romanian dictator Nicolae Ceausescu and President Mobutu Sese Seko, the former leader of Zaire, now the Democratic Republic of Congo. After a recent visit with President Xi Jinping of China, she was caught on camera speaking of how “very rude” the Chinese leader had been.
“A queen who has been asked over the decades to host tyrants such as Presidents Mobutu of Zaire and Ceausescu of Romania is going to take a brash billionaire from New York effortlessly in her stride,” William Hague, a former foreign secretary, wrote in The Daily Telegraph.
Still, the prospect of Mr. Trump’s visit has stirred great passion in Britain. The online petition, backed by 1.8 million people, does not call for Mr. Trump to be barred from Britain altogether, only that his visit be a political one, without the involvement of Queen Elizabeth II.
Another online petition, signed by more than 300,000 people, called for the state visit to take place. Petitions with more than 100,000 signatures are eligible for parliamentary debate, and any vote would not be binding. The government of Prime Minister Theresa May has been firm in saying that the invitation to Mr. Trump for a full state visit this year will not be withdrawn.
In Parliament, Mr. Flynn cited the need to keep public trust in politicians and noted that no president had ever been invited for a state visit in his first year in office. He also accused Mr. Trump of acting “like a petulant child” and said the queen should not be seen as approving either his actions or his attitudes toward women and Muslims.",positive
4,"SYDNEY, Australia — The first visit to Australia by an Israeli prime minister was intended to be a warm meeting between the leaders of two countries with strong trade ties, giving Benjamin Netanyahu some positive coverage as his nation faces broad condemnation for pushing to expand settlements on the West Bank.
But the four-day visit, scheduled to start on Wednesday, is generating a bit of pushback. Sixty notable Australians, including political, religious, cultural and business figures, have signed a letter opposing Mr. Netanyahu’s visit because of his government’s policies toward the Palestinians. And small groups of protesters have demonstrated in Melbourne and Canberra against the visit.
“Israel continues to defy all United Nations calls for it to comply with international law in respect of its illegal settlement building and its treatment of the indigenous Palestinian population,” the letter said. It called on Prime Minister Malcolm Turnbull’s administration to rethink its support of the Israeli government.
Australia was one of the few countries that spoke out against a United Nations Security Council resolution in December that condemned Israeli settlements in the West Bank and East Jerusalem. While Israel’s closest ally, the United States, tacitly supported the resolution, the Australian government called it “one sided” and “deeply unsettling.”",negative
5,"By that he meant he wanted to address the inability or refusal of Mr. Trump, his followers and his administration to separate the real from the fake. And so Mr. Oliver took up four Trump-related questions: How did a man with such a contempt for or poor grasp of the truth end up as president? Where are his lies coming from? Why do so many people believe them? And what can be done about it?
The first three have been thoroughly picked over by all sorts of journalistic outlets, including some conservative ones, and two-thirds of the way into Sunday night’s show it seemed as if Mr. Oliver had nothing new to add. He and his former “Daily Show” colleague Samantha Bee, on her TBS show “Full Frontal,” have taken some of the deepest dives into the surreality of the Trump ascendance, so it would have been disappointing if Sunday’s episode had simply revisited problems that have been exhaustively documented elsewhere.
But of course Mr. Oliver had something else up his sleeve. “Last Week Tonight” has in its first three seasons built a reputation for quirky advocacy, whether calling for letter-writing campaigns or — as in his last show of 2016, after the election — urging viewers to give money to threatened social causes and to support news organizations financially.
Mr. Oliver kept that tradition rolling at the end of Sunday’s segment when, after establishing that Mr. Trump seems to get much of his dubious information by watching morning cable news shows, he announced that “Last Week Tonight” would be buying advertising on those shows in the Washington area. The ads, he said, would seek to impart facts that Mr. Trump has shown he does not grasp or believe. Samples included spots featuring a folksy cowboy, which were designed to resemble catheter ads but instead related facts about the nuclear triad, the demographics of urban areas and more. The first such ad will run Monday on several outlets, Mr. Oliver said.",negative
6,"Meryl Streep, in a fiery speech criticizing President Trump on Saturday night, pledged to stand up against “brownshirts and bots” at a time when she and others are increasingly denouncing his administration’s policies and the president himself.
Ms. Streep, in New York City accepting an award from the Human Rights Campaign, referred to the backlash she received after the Golden Globes in January, when she gave a speech denouncing Mr. Trump.
“It’s terrifying to put the target on your forehead, and it sets you up for all sorts of attacks and armies of brownshirts and bots and worse, and the only way you can do it is to feel you have to,” Ms. Streep said. “You have to. You don’t have an option. You have to.”
It was not immediately clear to whom Ms. Streep was referring in using the loaded term “brownshirts,” which was originally applied to a paramilitary group that assisted the rise of Adolf Hitler and Nazi Germany.",negative
7,"It was an eventful week for the DeVos family of Grand Rapids, Mich. On Tuesday, Vice President Mike Pence cast the tiebreaking vote, confirming Betsy DeVos as the Trump administration’s Secretary of Education.
On Friday, Pamella DeVos staged her New York Fashion Week runway show for the Fall-Winter 2017 collection of her evening-wear line, Pamella Roland. Pamella and Betsy are married to brothers, Dan DeVos and Dick DeVos, who are sons of Richard DeVos, a billionaire founder of Amway.
More than 300 people attended the fashion show, where they ogled aubergine crepe gowns, cashmere coats with fox fur cuffs and numerous sequined numbers, as models strode down the runway to tunes such as Michelle Gurevich’s “Russian Romance.” The education secretary, however, was not among them. Hours earlier, she was booed and harangued by protesters outside of a school in Washington that she had come to visit.
Despite her sister-in-law’s absence, in an interview backstage, Pamella said Betsy had been an ardent supporter of the fashion line since it was introduced in 2002. “She wears it beautifully; she’s tall and thin and has been one of my best customers,” the designer said.",neutral
8,"Federal workers are more likely to be Democrats, according to surveys. But partisanship and ideology explain only some of the intense feelings among workers, many of whom have seen Democrats and Republicans in the White House come and go.
At bars after work, in employee break rooms, on conference calls and on social media networks, employees at agencies targeted for steep reductions fear for their jobs. They worry about Mr. Trump’s freeze on hiring and regulations, his pledge to reverse environmental protections, and his executive order shutting down immigration for refugees and people from seven predominantly Muslim countries.
Some federal workers welcome Mr. Trump’s promises to create new jobs, build infrastructure and lower taxes. Others say they are focusing on doing their jobs and trying not to be distracted by the political noise that surrounds them. Still others say they are struggling with the question of whether they want to work for a president with whom they so strongly disagree.
“What do you do,” asked Representative Gerald E. Connolly, Democrat of Virginia, if you work at a place where the leader “avowedly renounces the work of that agency?”
“All of a sudden, you are faced with a real moral dilemma,” continued Mr. Connolly, whose district just outside Washington is home to thousands of federal workers.
Federal workers watched with growing alarm last year as Mr. Trump waged a campaign filled with antigovernment bombast and then during a transition in which he recruited cabinet secretaries hostile to the agencies they lead. Now they wait in these chaotic early days of Mr. Trump’s presidency as he and his political advisers use executive orders to shred the policies and traditions the workers have championed.
The intensity of feeling was already raw in late December, when members of the Digital Service gathered for drinks at the Laughing Man Tavern, a Washington bar, to say goodbye to Mikey Dickerson, their boss and the Google engineer first hired to rescue HealthCare.gov, the government’s Affordable Care Act website.",negative
9,"The former president, who was 11 when his boyhood home got running water after his father installed a windmill, did not need convincing and became deeply involved with the project, writing notes in the margins of the lease agreement and visiting the site regularly.
Mr. Carter, Jason Carter recalled this week, regularly sent pictures of the construction on the farmland, which he often passed during walks here with his wife, Rosalynn.
“When I told people we were getting solar panels, they said, ‘In Plains?’” said Jan Williams, who runs the Plains Historic Inn and helps to organize Mr. Carter’s regular Sunday school classes, which remain a draw for tourists. “They say, ‘Well, that’s because of Jimmy Carter.’ It is because of Jimmy Carter. Plains is all because of Jimmy Carter.”
The Plains project, limited in size, according to Mr. Carter and SolAmerica, because of what existing infrastructure could handle, is far from the first solar effort in Georgia. But it is among the highest-profile projects in a state where, after years of reluctance, regulators have demanded that the predominant utility company place a greater emphasis on solar power.
In this state, and in other parts of the country where many residents are unconvinced of climate change, renewable energy supporters have often tailored their pitches to focus on economic benefits. A plurality of Georgia’s electric generation jobs are in solar, according to the Department of Energy.
“The old politicized arguments about renewable energy being for coastal liberals just don’t play anymore in parts of the country where they’re experiencing firsthand the economic benefits of renewable energy development and job creation,” said Jodie Van Horn, the director of the Sierra Club’s Ready for 100 campaign, which pushes American cities to commit to entirely renewable energy offerings.
Renewable energy supporters do not have to ignore climate change arguments entirely, though. In 2014 in Sumter County, which includes Plains, 62 percent of residents believed that global warming was happening, according to an estimate from the Yale Program on Climate Change Communication. That is slightly higher than some counties in metropolitan Atlanta.",neutral
10,"What will you do when terrorists attack, or U.S. friction with some foreign power turns into a military confrontation? I don’t mean in your personal life, where you should keep calm and carry on. I mean politically. Think about it carefully: The fate of the republic may depend on your answer.
Of course, nobody knows whether there will be a shocking, 9/11-type event, or what form it might take. But surely there’s a pretty good chance that sometime over the next few years something nasty will happen — a terrorist attack on a public place, an exchange of fire in the South China Sea, something. Then what?
After 9/11, the overwhelming public response was to rally around the commander in chief. Doubts about the legitimacy of a president who lost the popular vote and was installed by a bare majority on the Supreme Court were swept aside. Unquestioning support for the man in the White House was, many Americans believed, what patriotism demanded.",negative
